symbol,pnl,ret_pct,exit_reason,r72_pct,r24_pct,r6_pct,vr,regime,sig,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h,high_1h,high_4h,low_below_entry_1h,low_below_entry_3h
TIA/USDT,40.14,0.28,pump_stagnation_exit,28.0,33.0,14.0,2.3,WARM,early,15.604498,3205.81,5.61,0.89,-0.69,-0.04,7.75,7.75,-1.81,-2.27,True,True,True,True
POWR/USDT,-13977.37,-30.81,pump_initial_stop,79.0,41.0,17.0,1.7,WARM,confirmed,1.111355,40594.08,-30.84,-30.84,-30.84,-30.84,8.88,8.88,-34.05,-34.05,True,True,True,True
GMT/USDT,-2450.49,-4.7,pump_time_exit,34.0,48.0,21.0,5.5,WARM,early,0.406203,123202.14,2.81,2.19,0.64,-2.59,3.22,8.32,-1.45,-3.99,True,True,True,True
RIF/USDT,1144.45,2.94,pump_stagnation_exit,23.0,24.0,17.0,2.9,WARM,early,0.154577,270589.92,4.87,3.25,4.41,3.44,5.13,7.65,-1.6,-1.6,True,True,True,True
ARK/USDT,2690.47,6.55,pump_stagnation_exit,11.0,22.0,14.0,28.4,WARM,early,0.835417,50752.54,2.01,-0.61,-3.88,-1.65,4.14,4.14,-0.54,-6.15,True,True,True,True
LPT/USDT,-2719.01,-5.87,pump_3h_down,31.0,26.0,20.0,7.9,WARM,early,9.174585,4884.03,-4.19,-4.63,-5.94,-5.94,0.39,0.39,-4.85,-6.48,True,True,True,True
AUCTION/USDT,-540.25,-1.08,pump_time_exit,-3.0,21.0,22.0,5.7,WARM,early,21.420705,1972.32,7.28,15.64,13.07,10.55,9.05,17.88,-0.52,-0.52,True,True,True,True
SYN/USDT,-1267.34,-2.31,pump_3h_down,61.0,42.0,12.0,1.9,WARM,early,0.714557,70726.36,4.69,-0.22,-4.82,-0.37,6.32,6.32,-0.5,-7.64,True,True,True,True
UMA/USDT,-235.77,-0.82,pump_3h_down,187.0,35.0,18.0,1.7,WARM,confirmed,5.840919,3965.71,3.99,-0.44,-0.72,-0.79,5.29,7.21,-4.3,-4.3,True,True,True,True
CTSI/USDT,-1128.82,-2.53,pump_time_exit,25.0,36.0,34.0,91.6,WARM,early,0.246623,167717.73,17.87,19.41,16.57,18.2,29.75,29.75,-0.17,-0.17,True,True,True,True
LSK/USDT,10728.24,26.52,pump_breakeven,5.0,18.0,15.0,5.0,WARM,early,1.122561,36344.04,-4.86,26.59,26.59,26.59,0.22,31.84,-6.11,-6.11,True,True,True,True
LSK/USDT,-142.23,-0.27,pump_time_exit,13.0,25.0,20.0,77.8,WARM,early,1.197599,25452.71,-1.22,3.96,-0.88,2.71,2.04,7.55,-3.56,-3.56,True,True,True,True
TRB/USDT,-981.97,-1.93,pump_3h_down,16.0,19.0,16.0,6.0,WARM,early,121.64079,378.94,0.98,-1.54,-1.46,-1.67,2.64,2.64,-1.46,-2.66,True,True,True,True
MAV/USDT,1911.83,4.38,pump_stagnation_exit,16.0,20.0,16.0,4.9,HOT,early,0.628514,72767.36,0.01,0.35,1.72,2.88,1.65,3.42,-1.2,-1.2,True,True,True,True
API3/USDT,-2161.08,-4.45,pump_3h_down,62.0,18.0,12.0,1.6,WARM,confirmed,3.357678,13866.49,-1.27,-2.28,-4.4,-4.4,0.66,0.66,-1.9,-4.58,True,True,True,True
CKB/USDT,-1599.42,-3.32,pump_3h_down,30.0,28.0,27.0,121.8,WARM,early,0.00419,10853724.69,0.07,1.91,0.45,4.48,1.53,7.56,-2.32,-2.32,True,True,True,True
DIA/USDT,-3797.06,-8.31,pump_3h_down,23.0,31.0,19.0,3.2,WARM,early,0.494447,90359.55,-3.0,-6.28,-8.28,-8.28,0.05,0.05,-6.74,-8.73,True,True,True,True
BTTC/USDT,-3846.3,-7.3,pump_stagnation_exit,39.0,42.0,41.0,30.6,WARM,early,1e-06,46223952703.95,-2.75,-2.75,-5.45,-5.45,2.65,2.65,-4.55,-9.05,True,True,True,True
COTI/USDT,-224.04,-0.26,pump_stagnation_exit,62.0,49.0,21.0,11.6,WARM,early,0.101671,482196.51,1.33,5.05,2.85,2.19,6.23,7.41,-0.72,-0.72,True,True,True,True
REQ/USDT,-1803.34,-4.23,pump_3h_down,26.0,24.0,22.0,54.4,WARM,early,0.104052,391557.58,-5.24,-1.68,-3.41,-4.28,0.14,0.62,-5.62,-6.1,True,True,True,True
REQ/USDT,-4649.32,-9.53,pump_initial_stop,37.0,33.0,15.0,2.0,WARM,early,0.113357,421750.95,-7.9,-9.49,-9.49,-9.49,0.04,0.04,-8.7,-11.08,True,True,True,True
SCRT/USDT,-1721.45,-4.39,pump_stagnation_exit,27.0,25.0,23.0,54.2,WARM,early,0.484242,77470.37,-1.83,1.71,0.16,0.59,2.1,5.01,-2.4,-2.4,True,True,True,True
PROM/USDT,-2607.03,-9.8,pump_3h_down,85.0,79.0,75.0,188.6,WARM,early,13.316655,1960.19,-6.49,-6.64,-2.97,4.74,2.27,7.38,-9.05,-10.19,True,True,True,True
CKB/USDT,26075.04,59.54,pump_trailing_stop,47.0,56.0,17.0,7.3,WARM,early,0.007327,6003266.09,2.48,0.21,1.34,5.51,3.73,6.6,-2.17,-2.17,True,True,True,True
API3/USDT,-1293.15,-2.03,pump_3h_down,48.0,31.0,20.0,7.3,WARM,early,4.715357,12315.45,-0.52,-1.68,-2.0,-2.0,2.37,2.37,-1.3,-3.59,True,True,True,True
RIF/USDT,-3854.29,-6.5,pump_initial_stop,74.0,59.0,49.0,14.6,WARM,early,0.24032,239434.06,-7.25,-8.25,-6.46,-6.46,1.2,1.2,-8.79,-11.37,True,True,True,True
CKB/USDT,-666.19,-2.1,pump_stagnation_exit,203.0,62.0,27.0,2.0,WARM,early,0.014312,2028050.98,1.51,3.63,-5.14,-5.33,3.97,6.78,-3.1,-10.98,True,True,True,True
VTHO/USDT,-2200.16,-8.92,pump_profit_protect,124.0,96.0,58.0,5.6,WARM,early,0.005801,4162030.81,16.14,9.76,9.79,6.55,21.88,21.88,-0.46,-2.33,True,True,True,True
USTC/USDT,-521.79,-0.76,pump_time_exit,37.0,30.0,15.0,12.9,WARM,early,0.034775,1569590.99,7.34,7.44,6.76,10.08,11.58,12.15,-2.21,-2.21,True,True,True,True
WLD/USDT,30618.97,58.09,pump_trailing_stop,49.0,28.0,14.0,3.3,WARM,early,3.955977,13384.26,-3.66,-6.24,-3.13,-1.31,0.23,0.23,-4.78,-6.85,True,True,True,True
WLD/USDT,-3065.87,-7.18,pump_3h_down,103.0,32.0,19.0,1.9,WARM,early,6.300148,6604.33,-3.13,-4.78,-7.11,-7.11,0.32,0.32,-5.46,-8.53,True,True,True,True
CVX/USDT,-244.89,-0.22,pump_stagnation_exit,19.0,19.0,13.0,10.0,WARM,early,4.272135,13756.16,-1.34,-0.73,-0.52,3.84,7.35,7.35,-2.62,-2.62,True,True,True,True
FLUX/USDT,-3432.5,-5.75,pump_3h_down,33.0,31.0,17.0,4.4,WARM,early,0.931165,62055.7,-4.21,-4.35,-5.7,-5.7,1.67,1.67,-4.9,-7.06,True,True,True,True
GRT/USDT,-2194.94,-3.07,pump_stagnation_exit,44.0,26.0,10.0,2.0,WARM,early,0.269635,249524.27,-2.24,-3.17,-1.31,-1.27,0.54,0.54,-3.46,-4.32,True,True,True,True
WLD/USDT,-91.02,-0.03,pump_time_exit,93.0,42.0,20.0,1.7,WARM,confirmed,7.349673,5339.95,2.97,-1.4,2.7,1.6,3.84,4.41,-2.72,-2.72,True,True,True,True
AMP/USDT,-1513.91,-3.97,pump_time_exit,34.0,31.0,18.0,5.1,WARM,early,0.005299,6863297.71,-0.92,2.44,0.93,-2.3,1.59,7.54,-3.28,-3.28,True,True,True,True
SPELL/USDT,-1736.21,-2.44,pump_time_exit,39.0,45.0,42.0,34.3,WARM,early,0.00086,76661482.07,14.88,4.31,10.51,17.25,25.56,26.64,-0.32,-0.32,True,True,True,True
JASMY/USDT,918.38,1.93,pump_stagnation_exit,14.0,24.0,29.0,2.4,WARM,early,0.016436,3242692.29,-2.31,-2.56,0.22,-1.98,1.29,3.58,-5.96,-5.96,True,True,True,True
GLM/USDT,-942.94,-1.52,pump_stagnation_exit,7.0,18.0,12.0,7.8,WARM,early,0.38019,144359.87,-0.23,2.95,0.13,1.55,0.77,7.29,-1.58,-1.58,True,True,True,True
PIXEL/USDT,-4512.36,-7.84,pump_3h_down,18.0,22.0,13.0,2.6,WARM,early,0.637819,88066.0,-5.9,-5.95,-7.81,-7.81,-0.05,-0.05,-6.01,-9.82,False,False,True,True
THETA/USDT,-1503.67,-2.03,pump_stagnation_exit,44.0,27.0,24.0,3.0,WARM,early,1.710855,39486.64,-4.9,-4.84,-3.26,-1.28,1.41,1.41,-6.13,-6.13,True,True,True,True
PEPE/USDT,39389.76,60.34,pump_trailing_stop,69.0,46.0,16.0,3.5,WARM,early,2e-06,32765127225.74,4.45,4.95,5.95,5.45,15.44,15.44,-1.05,-1.05,True,True,True,True
PEPE/USDT,-2533.43,-6.95,pump_3h_down,149.0,47.0,14.0,2.6,WARM,early,3e-06,11048545796.47,-5.34,-5.65,0.57,-1.3,0.57,5.24,-10.95,-13.44,True,True,True,True
PEOPLE/USDT,-165.06,0.01,pump_profit_protect,55.0,36.0,38.0,9.8,WARM,early,0.045233,1925880.86,0.13,2.6,2.98,5.99,2.96,8.66,-1.55,-1.55,True,True,True,True
PEPE/USDT,2716.53,3.5,pump_stagnation_exit,71.0,43.0,31.0,4.7,WARM,early,4e-06,19786049389.32,-2.21,-1.25,0.67,-1.25,1.15,3.55,-5.58,-5.58,True,True,True,True
FLOKI/USDT,48061.7,67.99,pump_trailing_stop,67.0,66.0,19.0,5.1,WARM,early,9.2e-05,774791478.3,-1.04,-0.03,0.52,4.78,2.17,7.54,-6.43,-6.43,True,True,True,True
BONK/USDT,1420.04,1.42,pump_breakeven,60.0,57.0,11.0,2.0,WARM,early,3.4e-05,3405787830.39,3.7,0.54,-4.71,-1.99,6.72,6.72,-0.99,-8.38,True,True,True,True
COTI/USDT,-2857.58,-8.72,pump_time_exit,94.0,52.0,40.0,2.8,WARM,early,0.1797,178536.24,-0.29,5.54,3.73,7.12,4.43,10.18,-4.06,-4.06,True,True,True,True
RSR/USDT,-752.53,-0.47,pump_time_exit,41.0,48.0,16.0,4.2,WARM,early,0.005902,18972700.18,6.57,11.45,10.98,11.17,13.18,14.81,-0.07,-0.07,True,True,True,True
ANKR/USDT,-944.4,-0.96,pump_stagnation_exit,24.0,29.0,16.0,14.9,WARM,early,0.051266,1592419.26,-0.69,-5.2,-4.75,-6.19,1.24,1.24,-3.91,-7.56,True,True,True,True
RAY/USDT,-5628.74,-5.86,pump_3h_down,29.0,27.0,16.0,3.3,WARM,early,1.489945,62376.02,-0.28,6.98,3.27,2.37,0.8,11.26,-4.47,-4.47,True,True,True,True
ACH/USDT,-6255.69,-6.65,pump_3h_down,20.0,24.0,15.0,8.2,WARM,early,0.035108,2604563.15,-2.56,-3.3,-2.7,-3.95,0.55,0.55,-2.67,-4.69,True,True,True,True
SANTOS/USDT,-2663.38,-2.88,pump_profit_protect,25.0,24.0,24.0,8.6,WARM,early,8.373184,10332.89,5.75,6.45,-0.64,1.56,17.7,17.7,-0.36,-1.65,True,True,True,True
WLD/USDT,205.12,0.4,pump_stagnation_exit,57.0,43.0,16.0,3.4,WARM,early,10.573284,9668.16,0.5,1.95,-2.11,-1.27,1.26,3.2,-2.75,-4.84,True,True,True,True
IQ/USDT,28581.43,28.15,pump_breakeven,57.0,58.0,21.0,2.4,WARM,early,0.014829,6901645.22,-3.97,-1.34,28.12,28.12,3.85,32.51,-4.45,-8.3,True,True,True,True
POWR/USDT,-9776.73,-9.63,pump_3h_down,27.0,24.0,19.0,14.5,WARM,early,0.489945,203262.27,6.89,0.38,-0.32,-4.99,7.71,7.71,-1.03,-5.38,True,True,True,True
AMP/USDT,64654.27,71.88,pump_trailing_stop,77.0,79.0,40.0,5.6,WARM,early,0.009112,9908945.19,3.11,22.53,71.97,71.97,3.11,166.58,-5.58,-5.58,True,True,True,True
GLMR/USDT,-783.38,-0.61,pump_time_exit,26.0,22.0,12.0,2.4,WARM,early,0.629815,154095.92,4.73,3.6,5.08,5.76,9.56,12.16,-2.42,-2.42,True,True,True,True
SSV/USDT,-929.19,-0.53,pump_time_exit,35.0,25.0,23.0,2.6,WARM,early,50.635305,2501.18,1.61,3.09,3.27,6.53,4.61,7.14,-1.27,-1.27,True,True,True,True
RAY/USDT,-9356.41,-14.5,pump_3h_down,94.0,87.0,40.0,3.7,HOT,early,2.626913,24251.38,-4.09,-3.88,-6.08,-14.52,1.58,1.58,-6.42,-17.48,True,True,True,True
FIDA/USDT,-12538.4,-10.39,pump_3h_down,26.0,41.0,16.0,3.1,HOT,early,0.686843,172578.03,-5.36,-3.03,-5.77,-10.36,2.21,2.21,-6.97,-12.13,True,True,True,True
PHA/USDT,-5506.41,-6.84,pump_3h_down,47.0,52.0,14.0,3.8,WARM,early,0.305453,256290.65,0.7,-0.97,-1.65,0.28,6.4,6.4,-0.74,-2.67,True,True,True,True
RLC/USDT,-3313.79,-2.67,pump_stagnation_exit,2.0,20.0,16.0,7.3,WARM,early,4.157078,27775.85,-0.12,-0.99,1.32,1.2,0.84,2.45,-1.28,-1.28,True,True,True,True
JOE/USDT,-4025.19,-2.83,pump_time_exit,46.0,29.0,17.0,1.9,WARM,early,1.08014,123115.07,-4.68,-1.3,-1.2,2.06,0.67,6.47,-4.92,-5.83,True,True,True,True
STX/USDT,-858.18,-0.59,pump_stagnation_exit,22.0,23.0,13.0,2.0,HOT,early,3.390394,32091.93,1.51,0.04,0.83,1.14,4.65,4.65,-0.82,-1.17,True,True,True,True
POLYX/USDT,46192.09,46.87,pump_trailing_stop,29.0,45.0,11.0,1.9,HOT,early,0.298349,332089.83,0.45,9.0,14.33,17.98,1.86,29.04,-0.75,-2.09,True,True,True,True
CVC/USDT,-3064.18,-2.96,pump_initial_stop,108.0,89.0,80.0,60.3,WARM,early,0.293046,330687.09,-2.95,-2.95,-2.95,-2.95,1.62,1.62,-10.08,-10.08,True,True,True,True
CVC/USDT,-4479.02,-4.74,pump_3h_down,99.0,82.0,75.0,76.6,WARM,early,0.284642,319161.88,-2.51,-2.76,-4.79,-4.79,0.09,0.09,-5.14,-7.57,True,True,True,True
CVC/USDT,-1082.38,-1.28,pump_profit_protect,91.0,71.0,57.0,60.6,WARM,early,0.271436,269980.55,4.48,4.41,9.53,12.11,7.94,21.21,-1.12,-1.12,True,True,True,True
TFUEL/USDT,-3958.8,-4.9,pump_3h_down,23.0,27.0,23.0,164.1,WARM,early,0.104842,741789.15,-3.8,-1.9,-3.28,-4.86,5.9,5.9,-5.38,-7.38,True,True,True,True
XEC/USDT,-1324.27,-0.81,pump_time_exit,26.0,25.0,16.0,5.9,HOT,early,6.1e-05,2166093437.53,-2.14,7.07,6.72,8.14,0.03,11.53,-3.74,-3.74,True,True,True,True
PENDLE/USDT,-3498.71,-2.61,pump_time_exit,8.0,19.0,13.0,2.5,WARM,early,5.736867,21706.06,6.17,12.67,11.86,9.23,6.26,16.27,-0.07,-0.07,True,True,True,True
VIC/USDT,-7482.52,-5.99,pump_3h_down,18.0,21.0,14.0,19.2,WARM,early,1.091546,110890.67,-2.98,-5.77,-4.7,-5.42,0.59,0.59,-3.5,-7.0,True,True,True,True
CKB/USDT,66923.07,56.09,pump_trailing_stop,23.0,23.0,14.0,3.7,WARM,early,0.02172,5518716.44,-1.17,1.99,4.91,5.53,1.35,6.81,-1.82,-1.82,True,True,True,True
ONG/USDT,-4386.62,-2.68,pump_3h_down,-3.0,46.0,18.0,2.1,WARM,early,0.542571,281086.99,-5.04,-2.81,-1.65,-0.62,1.65,1.65,-5.45,-5.86,True,True,True,True
NEO/USDT,-8558.14,-5.47,pump_3h_down,-0.0,27.0,14.0,2.4,WARM,early,22.721355,6653.3,-1.94,-0.93,-4.36,-5.42,0.13,2.06,-2.38,-5.95,True,True,True,True
LPT/USDT,198.69,0.34,pump_stagnation_exit,9.0,19.0,17.0,3.3,HOT,early,13.28564,10991.87,-2.09,-0.68,4.59,5.47,0.41,7.64,-2.72,-4.33,True,True,True,True
ONG/USDT,-9710.43,-6.45,pump_initial_stop,33.0,35.0,12.0,2.0,WARM,early,0.649925,224846.74,-2.08,-6.44,-6.24,-6.24,1.55,1.55,-2.2,-10.9,True,True,True,True
ONT/USDT,6736.48,4.87,pump_stagnation_exit,20.0,29.0,17.0,3.8,WARM,early,0.372386,388143.13,-4.75,-2.74,-2.49,1.91,1.78,5.56,-4.96,-9.99,True,True,True,True
JTO/USDT,983.62,0.77,pump_stagnation_exit,35.0,30.0,17.0,2.4,HOT,early,3.549074,48907.1,0.27,0.1,0.83,-2.32,1.83,2.37,-1.15,-2.41,True,True,True,True
PUNDIX/USDT,-8997.79,-4.97,pump_3h_down,42.0,40.0,16.0,6.0,WARM,early,0.763281,228179.75,-3.18,-4.62,-4.91,-4.91,0.0,0.0,-3.67,-6.98,True,True,True,True
1000SATS/USDT,-1346.69,-0.6,pump_time_exit,37.0,23.0,21.0,4.5,WARM,early,0.000341,495242678.99,3.62,7.73,6.76,9.9,5.7,11.22,-0.05,-0.05,True,True,True,True
HBAR/USDT,-13464.56,-17.44,pump_initial_stop,98.0,98.0,19.0,6.0,WARM,early,0.176988,431768.63,-17.4,-17.4,-17.4,-17.4,0.97,0.97,-18.64,-18.64,True,True,True,True
BONK/USDT,2088.38,1.69,pump_stagnation_exit,30.0,36.0,12.0,2.7,WARM,early,2.7e-05,5126164743.45,-2.8,-2.69,-2.87,-2.06,0.39,0.39,-3.2,-5.73,True,True,True,True
T/USDT,-9843.5,-7.14,pump_3h_down,21.0,26.0,17.0,2.5,WARM,early,0.042461,3162227.69,-1.32,-5.3,-7.04,-7.04,0.92,0.92,-2.38,-8.06,True,True,True,True
ETHFI/USDT,-3196.05,-2.27,pump_3h_down,21.0,31.0,15.0,5.4,WARM,early,4.415207,29295.99,-0.39,-0.77,-2.22,-2.22,1.92,1.92,-2.34,-3.4,True,True,True,True
PROM/USDT,-6424.95,-4.89,pump_stagnation_exit,16.0,20.0,13.0,43.9,WARM,early,10.736365,11758.25,0.2,-3.39,0.59,-2.32,2.69,2.69,-1.2,-5.04,True,True,True,True
TRB/USDT,74014.77,58.2,pump_trailing_stop,10.0,33.0,24.0,7.2,WARM,early,60.180075,2122.78,4.37,19.04,19.59,22.05,6.83,24.29,-0.35,-0.35,True,True,True,True
ASR/USDT,-11877.48,-7.16,pump_3h_down,21.0,33.0,33.0,76.2,WARM,early,4.276137,37781.96,-6.15,-5.12,-6.81,-7.11,0.32,0.32,-7.11,-8.96,True,True,True,True
LPT/USDT,-15542.55,-9.8,pump_3h_down,27.0,32.0,15.0,2.3,WARM,early,19.675833,7909.15,-4.59,-8.7,-9.82,-9.82,2.65,2.65,-4.81,-10.41,True,True,True,True
QI/USDT,16538.67,11.56,pump_profit_protect,12.0,23.0,14.0,13.0,WARM,early,0.017909,8134441.86,-3.07,11.51,11.51,11.51,1.85,20.55,-4.63,-4.63,True,True,True,True
GMX/USDT,-10976.57,-7.19,pump_3h_down,24.0,22.0,15.0,10.0,WARM,early,31.17558,4772.08,4.38,0.27,-1.53,-4.16,10.31,10.31,-0.05,-4.35,True,True,True,True
PEOPLE/USDT,-2850.17,-1.38,pump_time_exit,52.0,29.0,22.0,3.8,WARM,early,0.046133,3918051.11,9.49,6.84,7.65,10.59,11.01,14.73,-0.57,-0.57,True,True,True,True
RSR/USDT,498.68,0.48,pump_stagnation_exit,44.0,22.0,12.0,3.9,WARM,early,0.008459,21165137.3,-2.47,-2.99,-1.5,-0.0,1.52,1.55,-3.57,-4.4,True,True,True,True
RSR/USDT,-6836.47,-4.38,pump_3h_down,35.0,20.0,15.0,2.0,WARM,early,0.009951,15018637.78,2.54,-2.55,-0.69,-3.06,4.51,4.51,-1.4,-4.76,True,True,True,True
PENDLE/USDT,2888.41,2.14,pump_stagnation_exit,24.0,26.0,11.0,2.3,HOT,early,5.927962,25111.01,1.32,1.81,0.98,1.59,2.63,3.54,-1.94,-1.94,True,True,True,True
ATM/USDT,-2305.44,-1.46,pump_time_exit,15.0,18.0,15.0,94.0,WARM,early,3.457728,40236.33,-1.29,-2.8,-0.14,-1.64,2.61,2.61,-1.67,-3.2,True,True,True,True
ENS/USDT,9683.22,6.77,pump_breakeven,34.0,39.0,12.0,6.2,WARM,early,20.360175,7243.31,1.72,3.49,3.68,1.67,2.9,8.0,-0.3,-0.3,True,True,True,True
SYN/USDT,-3418.29,-2.06,pump_profit_protect,19.0,33.0,16.0,7.2,WARM,early,0.727964,207655.62,8.34,0.83,-1.99,-1.99,16.1,16.1,-1.97,-3.15,True,True,True,True
INJ/USDT,-9047.2,-5.86,pump_3h_down,18.0,22.0,14.0,3.1,HOT,early,32.626305,4580.84,-1.49,-1.83,-5.81,-5.81,-0.05,-0.05,-2.72,-6.15,False,False,True,True
LPT/USDT,-3618.27,-2.24,pump_stagnation_exit,16.0,26.0,18.0,3.7,WARM,early,25.562775,5800.1,2.69,-1.21,-5.86,-2.83,3.0,3.06,-1.34,-7.46,True,True,True,True
ONG/USDT,-5265.51,-3.48,pump_3h_down,7.0,21.0,17.0,25.3,WARM,early,0.354577,403635.3,-0.61,-1.38,-0.67,-2.48,1.05,1.05,-1.91,-3.27,True,True,True,True
FET/USDT,-2335.02,-1.46,pump_3h_down,7.0,20.0,15.0,2.5,WARM,early,1.685843,83332.7,0.31,1.02,-1.3,-0.47,1.73,1.73,-2.07,-2.3,True,True,True,True
ENS/USDT,-3845.52,-2.56,pump_stagnation_exit,18.0,27.0,14.0,3.3,HOT,early,32.466225,4291.16,0.57,1.15,0.54,0.66,1.4,1.4,-1.16,-1.16,True,True,True,True
AXL/USDT,-832.86,-0.41,pump_time_exit,0.0,25.0,20.0,4.0,WARM,early,0.619309,221850.28,1.26,2.05,-0.37,3.41,3.32,3.95,-1.79,-1.79,True,True,True,True
MOVR/USDT,-9525.09,-6.76,pump_3h_down,24.0,19.0,14.0,10.8,WARM,early,11.52476,11885.48,-3.49,-6.62,-6.68,-6.68,1.28,1.28,-6.31,-8.28,True,True,True,True
VIC/USDT,-6379.94,-4.63,pump_3h_down,29.0,20.0,13.0,55.2,WARM,early,0.381691,346386.23,-2.59,-2.96,-2.07,-4.14,1.5,1.5,-2.96,-4.9,True,True,True,True
1000SATS/USDT,2918.35,2.44,pump_stagnation_exit,13.0,22.0,20.0,3.9,WARM,early,0.000248,526098590.57,2.41,0.51,2.37,2.89,2.85,7.98,-1.3,-1.3,True,True,True,True
WLD/USDT,634.11,0.69,pump_stagnation_exit,28.0,26.0,16.0,5.7,HOT,early,2.287143,57049.67,-1.49,2.14,2.18,1.22,0.91,4.45,-1.8,-1.8,True,True,True,True
