symbol,pnl,ret_pct,exit_reason,confirmed,tier,r72_pct,r24_pct,r6_pct,vr,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h
ONT/USDT,-1787.13,-3.88,pump_3h_down,False,B,20.0,41.0,10.0,2.3,0.39,112046.15,-3.3,-2.99,-3.04,-3.89,-0.05,-0.05,-5.32,-5.32
JTO/USDT,3331.24,2.49,pump_stagnation_exit,True,B,34.0,27.0,10.0,2.1,3.48,41876.24,2.02,2.37,2.19,2.94,3.76,4.51,-0.74,-0.74
PUNDIX/USDT,1599.74,3.95,pump_lock_2pct,False,B,31.0,34.0,14.0,3.2,0.71,59875.83,4.0,4.0,4.0,4.0,12.15,12.15,-0.05,-0.05
MTL/USDT,-2761.5,-6.06,pump_3h_down,False,B,22.0,20.0,13.0,10.2,1.79,24608.22,-4.23,-5.01,-5.96,-5.96,0.9,0.9,-4.84,-7.52
SAGA/USDT,1231.36,1.03,pump_stagnation_exit,True,B,7.0,29.0,17.0,3.3,4.17,35263.89,-0.62,2.8,1.65,2.32,1.87,5.68,-2.94,-2.94
USTC/USDT,-2519.75,-5.47,pump_3h_down,False,B,27.0,21.0,21.0,16.0,0.02,2074104.37,1.77,0.34,-2.65,-3.81,4.26,4.26,-1.96,-4.26
BONK/USDT,2120.54,7.34,pump_breakeven,False,B,38.0,31.0,20.0,7.5,0.0,1526207763.69,0.26,-3.49,-0.41,7.44,1.9,8.78,-0.36,-4.41
1000SATS/USDT,-12703.9,-6.46,pump_lock_2pct,True,B,37.0,23.0,21.0,4.5,0.0,515478702.51,3.62,7.73,6.76,9.9,5.7,11.22,-0.05,-0.05
HBAR/USDT,-4035.48,-17.44,pump_initial_stop,False,B,98.0,98.0,19.0,6.0,0.18,129406.0,-17.4,-17.4,-17.4,-17.4,0.97,0.97,-18.64,-18.64
BONK/USDT,3088.47,2.38,pump_stagnation_exit,True,B,30.0,36.0,12.0,2.7,0.0,5121234162.69,-2.8,-2.69,-2.87,-2.06,0.39,0.39,-3.2,-5.73
ALGO/USDT,-2840.67,-6.71,pump_3h_down,False,B,26.0,24.0,18.0,19.8,0.24,172234.65,1.21,-4.53,-7.33,-4.15,2.84,2.84,-2.1,-8.46
T/USDT,-3033.58,-7.14,pump_3h_down,False,B,21.0,26.0,17.0,2.5,0.04,974537.97,-1.32,-5.3,-7.04,-7.04,0.92,0.92,-2.38,-8.06
ETHFI/USDT,-1011.21,-2.27,pump_3h_down,False,B,21.0,31.0,15.0,5.4,4.42,9269.06,-0.39,-0.77,-2.22,-2.22,1.92,1.92,-2.34,-3.4
W/USDT,-1826.62,-4.28,pump_probe_kill,False,B,15.0,18.0,13.0,2.7,0.76,53341.2,-5.54,-5.81,-3.71,-5.28,1.0,1.0,-5.94,-7.51
POND/USDT,-1713.74,-4.89,pump_3h_down,False,B,16.0,20.0,15.0,23.2,0.02,1523594.37,0.76,-1.86,-1.45,-4.02,4.47,4.47,-2.4,-4.61
REZ/USDT,-3253.17,-9.6,pump_initial_stop,False,B,19.0,26.0,30.0,4.2,0.2,163642.29,-3.15,-9.56,-9.56,-9.56,1.23,1.23,-3.94,-10.2
REZ/USDT,-935.54,-2.7,pump_stagnation_exit,False,B,32.0,22.0,13.0,5.9,0.19,168024.35,-1.82,-4.01,-3.33,-1.72,0.37,0.37,-4.38,-5.89
GLM/USDT,1929.75,6.24,pump_lock_2pct,False,B,15.0,22.0,15.0,3.6,0.53,60196.74,6.26,6.26,6.26,6.26,10.44,10.44,-0.28,-0.28
GLM/USDT,449.07,1.58,pump_stagnation_exit,False,B,24.0,27.0,23.0,8.5,0.56,57628.16,1.31,-0.28,-0.53,2.04,2.31,3.42,-1.41,-2.6
USTC/USDT,-2545.09,-7.6,pump_3h_down,False,B,33.0,31.0,29.0,33.4,0.03,1287225.57,4.14,-1.62,-4.46,-7.55,6.27,6.27,-2.23,-9.26
TRB/USDT,57321.83,36.68,pump_trailing_stop,True,B,10.0,33.0,24.0,7.2,60.18,2258.39,4.37,19.04,19.59,22.05,6.83,24.29,-0.35,-0.35
ASR/USDT,-3542.84,-7.16,pump_3h_down,False,B,21.0,33.0,33.0,76.2,4.28,11269.69,-6.15,-5.12,-6.81,-7.11,0.32,0.32,-7.11,-8.96
LPT/USDT,-4759.97,-9.8,pump_3h_down,False,B,27.0,32.0,15.0,2.3,19.68,2422.21,-4.59,-8.7,-9.82,-9.82,2.65,2.65,-4.81,-10.41
GMX/USDT,1937.66,4.32,pump_lock_2pct,False,B,24.0,22.0,15.0,10.0,31.18,1508.55,4.38,4.38,4.38,4.38,10.31,10.31,-0.05,-0.05
GMX/USDT,-4009.7,-8.3,pump_3h_down,False,B,30.0,29.0,19.0,25.6,32.56,1450.89,-3.98,-5.7,-8.22,-8.22,-0.02,-0.02,-5.09,-8.4
QI/USDT,-1461.37,-2.9,pump_probe_kill,False,B,13.0,21.0,16.0,5.3,0.02,2643441.95,-6.32,-7.33,-7.21,0.17,0.62,1.57,-6.54,-8.44
PEOPLE/USDT,8562.05,9.43,pump_lock_2pct,False,A,52.0,29.0,22.0,3.8,0.05,2012197.47,9.49,9.49,9.49,9.49,11.01,11.01,-0.57,-0.57
PEOPLE/USDT,-6869.6,-3.39,pump_stagnation_exit,True,A,66.0,45.0,30.0,4.1,0.05,3775531.14,-2.46,-1.73,0.96,3.12,1.32,5.15,-5.25,-5.85
LPT/USDT,-1830.01,-3.64,pump_3h_down,False,B,15.0,24.0,18.0,4.8,20.81,2292.42,-0.76,-4.33,-2.14,-2.27,0.81,0.81,-1.8,-5.16
OSMO/USDT,-3434.75,-7.21,pump_3h_down,False,B,14.0,22.0,15.0,5.2,0.94,49189.11,-5.72,-6.43,-7.27,-7.27,0.18,0.18,-8.02,-8.02
BOME/USDT,-2190.73,-4.58,pump_3h_down,False,B,31.0,28.0,17.0,2.2,0.01,3491082.24,-2.43,-2.95,-2.9,-3.8,0.29,0.29,-3.28,-4.81
RSR/USDT,-2083.63,-4.38,pump_3h_down,False,B,35.0,20.0,15.0,2.0,0.01,4577393.49,2.54,-2.55,-0.69,-3.06,4.51,4.51,-1.4,-4.76
PENDLE/USDT,1400.25,1.12,pump_stagnation_exit,True,B,24.0,26.0,11.0,2.3,5.93,25582.32,1.32,1.81,0.98,1.59,2.63,3.54,-1.94,-1.94
ENS/USDT,-1890.05,-1.04,pump_stagnation_exit,True,B,22.0,25.0,23.0,14.3,18.04,8380.59,-2.71,-2.05,-2.16,0.89,0.95,2.94,-2.93,-4.04
XAI/USDT,-1178.56,-2.41,pump_probe_kill,False,B,16.0,25.0,15.0,4.3,0.74,60738.35,-0.61,-2.54,-2.52,-2.48,1.58,1.58,-0.98,-3.88
ENS/USDT,1669.38,1.28,pump_lock_2pct,True,B,34.0,39.0,12.0,6.2,20.36,7394.06,1.72,3.49,3.68,1.67,2.9,8.0,-0.3,-0.3
BB/USDT,104420.67,55.35,pump_trailing_stop,True,B,45.0,40.0,23.0,3.5,0.46,392060.41,0.51,0.77,5.91,2.66,3.35,7.95,-1.61,-1.61
NOT/USDT,152207.51,58.35,pump_trailing_stop,True,A,52.0,39.0,13.0,3.8,0.01,33745824.95,6.09,6.65,8.05,14.3,7.35,17.54,-1.66,-1.66
HIGH/USDT,2192.79,3.74,pump_lock_2pct,False,B,32.0,21.0,17.0,7.9,5.78,10730.96,-0.55,-1.9,1.63,1.58,0.9,3.19,-2.09,-2.87
ATM/USDT,-4932.56,-1.77,pump_lock_2pct,True,B,15.0,18.0,15.0,94.0,3.46,68535.71,-1.29,-2.8,-0.14,-1.64,2.61,2.61,-1.67,-3.2
FLOKI/USDT,-4081.75,-1.24,pump_stagnation_exit,True,B,30.0,21.0,14.0,2.1,0.0,851880195.29,1.87,2.71,-0.46,1.41,4.58,4.58,-1.45,-2.29
FIDA/USDT,-2979.47,-3.4,pump_stagnation_exit,False,B,32.0,28.0,27.0,27.8,0.39,213712.5,-5.11,-1.37,-1.26,0.05,1.06,6.2,-6.12,-7.98
BB/USDT,4326.18,1.74,pump_stagnation_exit,True,B,17.0,20.0,19.0,5.2,0.81,340942.46,1.47,0.85,3.35,3.24,3.21,4.87,-2.73,-2.73
SYN/USDT,6667.22,8.25,pump_lock_2pct,False,B,19.0,33.0,16.0,7.2,0.73,113918.87,8.34,8.34,8.34,8.34,16.1,16.1,-1.97,-1.97
SYN/USDT,-8230.48,-9.62,pump_initial_stop,False,B,30.0,45.0,21.0,8.6,0.79,106402.15,-6.95,-9.55,-9.55,-9.55,0.56,0.56,-7.8,-10.62
TRB/USDT,-7055.19,-8.3,pump_initial_stop,False,B,12.0,22.0,18.0,5.1,106.96,776.36,-8.27,-8.27,-8.27,-8.27,1.9,1.9,-10.04,-10.04
INJ/USDT,-4941.74,-5.86,pump_3h_down,False,B,18.0,22.0,14.0,3.1,32.63,2502.13,-1.49,-1.83,-5.81,-5.81,-0.05,-0.05,-2.72,-6.15
LPT/USDT,-2612.99,-0.76,pump_stagnation_exit,True,B,13.0,24.0,15.0,2.9,25.03,10871.45,2.06,4.87,0.89,-3.85,2.87,5.26,-1.65,-4.12
ONG/USDT,-2961.73,-3.48,pump_3h_down,False,B,7.0,21.0,17.0,25.3,0.35,227035.53,-0.61,-1.38,-0.67,-2.48,1.05,1.05,-1.91,-3.27
FET/USDT,-1330.64,-1.46,pump_3h_down,False,B,7.0,20.0,15.0,2.5,1.69,47487.91,0.31,1.02,-1.3,-0.47,1.73,1.73,-2.07,-2.3
ENS/USDT,-8669.59,-3.04,pump_stagnation_exit,True,B,18.0,27.0,14.0,3.3,32.47,8199.03,0.57,1.15,0.54,0.66,1.4,1.4,-1.16,-1.16
HIGH/USDT,2744.24,3.7,pump_stagnation_exit,False,B,-12.0,20.0,14.0,2.5,1.53,51452.88,-0.05,1.06,1.26,1.78,3.22,3.42,-2.6,-2.6
XAI/USDT,-4632.15,-5.82,pump_3h_down,False,B,-3.0,26.0,16.0,3.2,0.35,219295.61,0.26,-1.47,-1.64,0.78,1.63,3.08,-1.1,-3.95
AXL/USDT,159.16,0.26,pump_lock_2pct,True,B,0.0,25.0,20.0,4.0,0.62,422816.91,1.26,2.05,-0.37,3.41,3.32,3.95,-1.79,-1.79
SEI/USDT,-2267.66,-2.7,pump_3h_down,False,B,19.0,18.0,12.0,2.8,0.34,228757.05,-0.63,-0.55,-0.75,-2.65,1.18,1.18,-0.81,-2.74
1000SATS/USDT,126.81,0.24,pump_stagnation_exit,True,B,38.0,18.0,16.0,3.0,0.0,1717193150.08,0.83,-0.16,1.22,0.56,1.93,1.93,-0.71,-1.81
MOVR/USDT,-5422.25,-6.76,pump_3h_down,False,B,24.0,19.0,14.0,10.8,11.52,6765.92,-3.49,-6.62,-6.68,-6.68,1.28,1.28,-6.31,-8.28
VIC/USDT,-3723.46,-4.63,pump_3h_down,False,B,29.0,20.0,13.0,55.2,0.38,202158.12,-2.59,-2.96,-2.07,-4.14,1.5,1.5,-2.96,-4.9
1000SATS/USDT,2689.28,1.24,pump_stagnation_exit,True,B,13.0,22.0,20.0,3.9,0.0,1033250263.53,2.41,0.51,2.37,2.89,2.85,7.98,-1.3,-1.3
WLD/USDT,1010.34,0.59,pump_stagnation_exit,True,B,24.0,24.0,16.0,5.6,2.25,111689.41,-0.67,1.68,0.22,3.91,1.64,5.73,-2.01,-2.01
FLOKI/USDT,-11344.92,-4.04,pump_breakeven,True,B,30.0,24.0,10.0,3.3,0.0,1421231082.06,-1.39,0.14,1.24,2.31,0.57,4.37,-1.96,-1.96
PEPE/USDT,-4030.86,-5.26,pump_3h_down,False,B,39.0,26.0,15.0,1.9,0.0,6055476393.7,-0.38,0.61,0.93,-3.08,0.52,2.9,-1.52,-4.06
DYM/USDT,2358.58,3.31,pump_stagnation_exit,False,B,28.0,19.0,14.0,3.2,1.67,45438.09,-4.54,-4.24,-2.86,-1.79,0.55,0.55,-4.84,-5.38
DYM/USDT,-1249.65,-2.02,pump_stagnation_exit,False,B,41.0,30.0,13.0,2.0,1.88,30058.33,-2.61,-0.74,-1.17,0.48,0.43,0.75,-3.46,-3.46
WLD/USDT,-3628.54,-0.96,pump_lock_2pct,True,B,44.0,33.0,21.0,3.4,2.62,114175.32,1.21,7.69,6.05,6.55,5.78,9.9,-0.7,-0.7
BONK/USDT,-1655.32,-2.02,pump_stagnation_exit,False,B,12.0,21.0,15.0,3.9,0.0,2351087832.06,0.23,-0.21,-1.0,-0.43,0.71,2.03,-1.53,-1.79
ZRO/USDT,-3535.98,-1.16,pump_lock_2pct,True,B,17.0,23.0,16.0,5.0,4.79,51604.86,0.51,0.6,7.94,7.0,1.08,8.88,-1.84,-1.84
CFX/USDT,-3034.34,-1.0,pump_stagnation_exit,True,B,8.0,19.0,11.0,2.9,0.17,1451936.64,0.42,2.08,1.96,4.15,0.66,4.32,-0.4,-0.4
PUNDIX/USDT,-1490.77,-1.84,pump_3h_down,False,B,20.0,22.0,14.0,2.3,0.49,148031.54,3.47,-0.41,0.13,-0.41,4.21,4.21,-1.99,-1.99
BOME/USDT,-598.25,-0.04,pump_stagnation_exit,True,B,22.0,21.0,12.0,2.8,0.01,23865391.35,1.49,1.55,3.64,2.59,2.52,3.97,-0.46,-0.46
PENDLE/USDT,923.9,1.47,pump_lock_2pct,False,B,-8.0,34.0,20.0,2.5,2.74,26611.26,-1.69,1.56,1.56,1.56,2.07,11.3,-3.95,-4.14
TRB/USDT,-4256.11,-5.63,pump_3h_down,False,B,-5.0,31.0,21.0,2.2,61.08,1196.18,-3.11,-4.5,-3.86,-2.98,1.37,1.37,-3.31,-4.73
WIF/USDT,-4515.11,-6.04,pump_probe_kill,False,B,11.0,28.0,17.0,2.7,1.75,41388.46,-0.28,-0.28,-1.25,0.06,0.92,1.26,-0.96,-2.51
ZK/USDT,-3082.58,-4.08,pump_3h_down,False,B,24.0,18.0,13.0,2.8,0.12,610817.59,-2.85,-3.78,-4.03,-4.03,0.46,0.46,-3.19,-4.29
QKC/USDT,6970.98,2.61,pump_stagnation_exit,True,B,38.0,31.0,28.0,49.1,0.01,33922017.93,1.24,2.46,3.07,2.59,4.62,7.31,-0.22,-0.3
REZ/USDT,-502.2,-0.49,pump_stagnation_exit,False,B,33.0,28.0,16.0,3.3,0.05,1428743.19,3.7,5.48,3.31,1.93,4.1,6.67,-0.64,-0.64
QKC/USDT,-4183.23,-8.0,pump_initial_stop,False,B,94.0,87.0,41.0,3.7,0.01,4135329.93,-7.97,-7.97,-7.97,-7.97,0.36,0.36,-14.03,-14.03
QKC/USDT,-9839.76,-11.09,pump_3h_down,False,A,80.0,72.0,30.0,4.6,0.01,7667884.11,-1.99,-1.84,-6.08,-11.06,2.92,2.92,-3.91,-12.89
T/USDT,-2217.89,-4.29,pump_3h_down,False,B,32.0,19.0,16.0,9.0,0.02,2093815.93,-2.76,-3.65,-4.2,-4.2,0.03,0.03,-2.97,-4.5
T/USDT,-5980.52,-7.17,pump_probe_kill,False,A,53.0,38.0,29.0,4.1,0.03,2844359.61,0.9,-2.15,-5.02,-3.76,5.62,5.62,-3.27,-7.89
SAGA/USDT,-348.77,-0.54,pump_stagnation_exit,False,B,29.0,30.0,30.0,7.8,1.64,28540.89,1.87,2.98,2.1,-1.5,2.79,5.12,-1.07,-1.73
BANANA/USDT,-1910.88,-3.88,pump_3h_down,False,B,13.0,21.0,15.0,7.2,43.05,1087.8,0.62,0.14,-0.1,-0.56,1.69,1.69,-1.61,-1.61
SUI/USDT,-3459.16,-0.94,pump_lock_2pct,True,B,49.0,27.0,10.0,2.0,0.79,365631.08,4.06,7.73,7.22,5.75,4.84,10.06,-0.57,-0.57
LISTA/USDT,-1854.36,-2.53,pump_breakeven,False,B,22.0,36.0,29.0,15.8,0.44,155920.34,-0.85,-2.5,-2.5,-2.5,4.49,9.62,-3.85,-3.85
BB/USDT,-3226.7,-4.55,pump_3h_down,False,B,5.0,30.0,19.0,3.7,0.33,207339.36,-4.62,-1.12,-3.4,-4.5,0.59,1.05,-5.35,-5.69
TLM/USDT,7403.16,5.71,pump_lock_2pct,False,A,65.0,56.0,51.0,11.2,0.01,8986758.04,5.83,5.83,5.83,5.83,13.5,13.5,-2.52,-2.52
TLM/USDT,-7751.71,-9.24,pump_initial_stop,False,B,71.0,68.0,60.0,18.6,0.02,5183893.8,-9.2,-9.2,-9.2,-9.2,3.86,3.86,-10.4,-10.4
TLM/USDT,-4929.3,-7.18,pump_3h_down,False,B,55.0,47.0,42.0,22.5,0.01,4643092.6,-2.34,-5.68,-7.07,-7.07,1.89,1.89,-5.61,-8.8
RARE/USDT,-449.9,-2.59,pump_stagnation_exit,False,B,222.0,48.0,33.0,2.4,0.3,53604.42,2.21,-6.58,-8.87,-5.52,2.9,2.9,-8.04,-11.13
TLM/USDT,-10436.95,-5.54,pump_stagnation_exit,True,B,44.0,37.0,20.0,16.9,0.01,13242797.96,-3.41,-1.92,2.42,0.47,5.18,5.18,-4.83,-4.83
FLUX/USDT,-7486.23,-9.19,pump_3h_down,False,B,37.0,35.0,29.0,145.9,0.63,126225.11,-5.97,-6.38,-9.17,-9.17,0.33,0.33,-7.19,-9.21
NMR/USDT,-947.6,-0.3,pump_stagnation_exit,True,B,38.0,30.0,19.0,5.7,15.68,11949.9,0.91,-2.15,0.01,0.33,4.67,4.67,-1.96,-3.18
RSR/USDT,-3952.66,-5.39,pump_3h_down,False,B,36.0,22.0,16.0,4.0,0.01,12486518.59,3.46,-2.61,-4.65,-5.32,3.69,4.04,-2.01,-7.32
MBOX/USDT,1030.4,1.84,pump_breakeven,False,B,31.0,18.0,20.0,3.2,0.17,370054.09,2.18,2.18,2.18,2.18,9.23,9.23,-3.28,-3.28
MBOX/USDT,-2696.6,-4.07,pump_3h_down,False,B,34.0,22.0,20.0,5.9,0.17,363906.43,-0.05,-3.51,-4.02,-4.02,4.21,4.21,-3.45,-5.12
SUN/USDT,4170.57,6.84,pump_lock_2pct,False,B,19.0,27.0,14.0,4.4,0.01,4797252.79,6.9,6.9,6.9,6.9,10.33,10.33,-1.65,-1.65
SUN/USDT,2747.17,4.54,pump_breakeven,False,B,26.0,37.0,19.0,7.1,0.01,4525632.86,4.52,4.52,4.52,4.52,8.52,8.52,-1.41,-1.41
BTTC/USDT,-2911.1,-4.4,pump_probe_kill,False,B,26.0,24.0,22.0,35.0,0.0,68127806444.3,-6.5,-5.42,-7.57,-6.5,1.02,1.02,-6.5,-9.72
QUICK/USDT,-3690.46,-4.66,pump_probe_kill,False,B,40.0,36.0,28.0,35.3,0.04,1915833.75,1.84,0.25,0.05,-1.39,4.23,6.53,-2.7,-2.7
MOVR/USDT,-11798.18,-5.35,pump_stagnation_exit,True,B,32.0,29.0,28.0,27.5,10.75,19477.76,-0.42,-0.52,1.71,0.61,1.77,5.64,-2.81,-2.81
IO/USDT,-3651.76,-5.79,pump_3h_down,False,B,18.0,21.0,16.0,3.5,1.97,31017.27,-3.2,-4.83,-5.74,-5.74,1.32,1.32,-4.27,-7.21
SUN/USDT,3442.75,11.1,pump_lock_2pct,False,B,114.0,18.0,28.0,2.6,0.02,1428574.53,0.22,0.94,11.02,11.02,3.29,14.36,-6.65,-6.65
RPL/USDT,1395.81,2.5,pump_lock_2pct,False,B,24.0,19.0,18.0,34.1,14.25,4272.13,2.55,2.55,2.55,2.55,12.3,12.3,-0.82,-0.82
TRB/USDT,-1488.06,-2.24,pump_3h_down,False,B,27.0,24.0,22.0,13.2,70.01,871.39,-1.65,-4.35,-1.48,-1.92,2.74,2.74,-3.89,-5.26
RPL/USDT,-3642.15,-5.78,pump_3h_down,False,B,26.0,19.0,19.0,51.3,14.44,4224.93,-1.5,-3.31,-3.03,-4.83,2.1,2.1,-1.64,-5.73
LPT/USDT,2449.8,4.51,pump_stagnation_exit,False,B,35.0,23.0,15.0,4.0,14.68,3876.53,1.43,5.08,4.2,3.56,3.52,6.16,-0.78,-0.78
SUN/USDT,5917.69,13.87,pump_lock_2pct,False,B,117.0,45.0,15.0,1.8,0.03,1283206.67,0.25,13.92,13.92,13.92,2.56,19.9,-1.89,-1.89
SUN/USDT,-1494.96,-3.5,pump_probe_kill,False,B,147.0,56.0,20.0,1.8,0.04,1050218.28,-3.35,-5.3,-4.13,-5.71,6.76,6.76,-7.3,-7.3
GMX/USDT,-1622.8,-2.55,pump_breakeven,False,B,34.0,29.0,25.0,5.9,33.81,1744.71,-2.56,-2.56,-2.56,-2.56,9.0,9.0,-2.83,-2.83
HOT/USDT,3116.77,5.53,pump_breakeven,False,B,32.0,21.0,14.0,5.1,0.0,28423375.4,5.59,5.59,5.59,5.59,8.16,8.16,-0.1,-0.1
GMX/USDT,-4087.22,-6.68,pump_3h_down,False,B,36.0,30.0,27.0,24.9,34.16,1739.95,-3.59,-5.64,-4.79,-5.82,0.62,0.62,-4.59,-6.52
CYBER/USDT,-1208.74,-1.88,pump_stagnation_exit,False,B,40.0,23.0,13.0,13.2,4.38,13279.1,1.89,5.06,3.58,2.07,5.29,6.98,-0.35,-0.35
TRB/USDT,-2034.14,-0.76,pump_lock_2pct,True,B,23.0,20.0,19.0,33.4,68.51,2967.57,0.75,4.8,2.68,3.37,1.56,6.18,-3.12,-3.12
VIC/USDT,-4980.81,-9.19,pump_3h_down,False,B,23.0,32.0,12.0,3.9,0.45,118644.75,-2.26,-6.24,-9.12,-9.12,0.13,0.13,-3.45,-9.97
CVC/USDT,-1971.07,-3.1,pump_probe_kill,False,B,21.0,20.0,12.0,19.6,0.11,560710.41,-2.49,-4.55,-3.42,-4.27,0.14,0.14,-2.86,-5.67
RPL/USDT,-3304.56,-5.35,pump_3h_down,False,B,19.0,28.0,27.0,54.3,11.99,4969.29,-0.72,-5.06,-3.39,-4.05,0.87,0.87,-1.8,-6.81
RARE/USDT,-1552.91,-2.43,pump_probe_kill,False,B,20.0,19.0,12.0,2.8,0.17,353300.16,-1.55,-2.5,-1.96,-2.8,1.86,1.86,-2.98,-3.4
PEOPLE/USDT,-602.3,-0.1,pump_stagnation_exit,True,B,19.0,19.0,11.0,6.1,0.06,3189313.96,1.51,1.85,1.1,1.85,2.22,4.45,-0.59,-0.59
CKB/USDT,1256.69,0.89,pump_stagnation_exit,True,A,57.0,55.0,28.0,9.1,0.01,13331991.2,-4.25,-5.05,-2.18,-1.73,0.14,0.14,-6.15,-6.15
SAGA/USDT,-2642.83,-4.29,pump_3h_down,False,B,13.0,20.0,15.0,3.1,1.62,36320.95,-1.87,-3.95,-4.22,-4.22,-0.04,-0.04,-1.97,-5.63
DYM/USDT,-1627.98,-2.58,pump_3h_down,False,B,14.0,22.0,22.0,6.1,1.65,35479.23,-0.6,-3.38,-1.38,-1.44,2.13,2.13,-1.38,-4.11
CKB/USDT,-1850.04,-2.98,pump_breakeven,False,B,28.0,19.0,16.0,2.1,0.02,3136024.19,4.52,4.23,-2.86,-2.86,7.2,9.16,-0.19,-4.55
PIXEL/USDT,-4945.67,-8.24,pump_3h_down,False,B,7.0,21.0,15.0,3.6,0.15,401419.01,0.57,-3.4,-5.25,-8.19,4.33,4.33,-0.46,-10.17
SEI/USDT,-1451.28,-0.56,pump_stagnation_exit,True,B,14.0,22.0,20.0,4.1,0.34,569059.56,1.83,0.49,0.58,0.34,2.84,2.84,-1.27,-1.27
SAGA/USDT,-4887.08,-4.07,pump_probe_kill,False,A,74.0,32.0,22.0,2.1,2.54,45052.8,-2.96,-5.55,-5.41,-6.68,-0.03,-0.03,-3.55,-7.14
KAVA/USDT,-2992.68,-5.14,pump_3h_down,False,B,34.0,29.0,20.0,3.0,0.41,137985.06,-0.49,-4.16,-5.07,-5.07,1.08,1.08,-5.29,-5.95
ALT/USDT,2184.73,3.48,pump_stagnation_exit,False,B,44.0,43.0,16.0,6.4,0.11,597001.85,-4.26,-7.58,-3.81,-2.38,2.28,2.28,-5.16,-7.94
TURBO/USDT,-1911.19,-4.19,pump_3h_down,False,B,38.0,25.0,28.0,5.2,0.01,6805609.06,-0.61,-1.45,-4.14,-4.14,1.85,1.85,-1.33,-4.25
FIDA/USDT,-40392.53,-17.46,pump_lock_2pct,True,B,32.0,37.0,30.0,19.2,0.31,602785.46,-4.32,5.68,30.21,33.45,2.25,42.74,-6.91,-6.91
ARDR/USDT,-2082.07,-1.61,pump_lock_2pct,True,A,48.0,41.0,19.0,8.1,0.1,1148575.83,-0.92,-2.06,3.32,5.49,1.69,6.48,-2.74,-4.04
DODO/USDT,1248.43,3.1,pump_lock_2pct,False,B,35.0,20.0,13.0,3.9,0.13,320830.54,-3.18,3.15,4.72,8.97,0.02,9.27,-4.07,-5.34
TAO/USDT,-2440.28,-4.71,pump_3h_down,False,B,34.0,23.0,18.0,4.5,565.58,87.92,-0.85,-3.55,-2.31,-4.13,0.04,0.04,-3.06,-4.65
ARKM/USDT,-1267.4,-2.35,pump_3h_down,False,B,15.0,19.0,18.0,4.8,1.42,34999.4,-2.37,-2.37,-0.97,-1.25,1.22,1.22,-2.87,-3.71
IQ/USDT,-4686.36,-9.34,pump_3h_down,False,B,31.0,29.0,23.0,28.0,0.01,6993453.87,-1.43,3.21,0.48,-0.43,0.55,4.44,-3.39,-3.81
FIDA/USDT,-2447.12,-1.29,pump_breakeven,True,B,16.0,28.0,25.0,16.4,0.37,435807.89,4.62,4.21,4.32,4.59,7.34,9.12,-2.07,-2.07
SAGA/USDT,-3659.61,-7.34,pump_3h_down,False,B,13.0,18.0,22.0,2.8,2.71,17891.61,3.16,1.39,-0.79,-1.62,5.7,5.7,-0.42,-2.11
