symbol,pnl,ret_pct,exit_reason,confirmed,tier,r72_pct,r24_pct,r6_pct,vr,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h
1MBABYDOGE/USDT,-1286.29,-2.64,pump_probe_kill,False,B,28.0,22.0,23.0,14.7,0.0,18977431.51,-0.02,-3.7,-2.84,-3.75,1.73,1.73,-2.34,-4.61
TWT/USDT,-1330.83,-2.76,pump_3h_down,False,B,27.0,19.0,19.0,12.3,1.05,42774.86,-1.04,-2.52,-2.77,-2.77,0.51,0.51,-1.57,-3.67
NOT/USDT,-1932.01,-4.14,pump_3h_down,False,B,35.0,20.0,18.0,4.0,0.01,4288044.84,0.09,1.34,-0.94,-1.9,0.66,2.47,-3.44,-3.44
SUSHI/USDT,-2009.89,-4.37,pump_3h_down,False,B,22.0,19.0,12.0,4.6,0.89,49492.59,-1.96,-1.06,-2.19,-4.43,0.62,0.62,-2.07,-4.77
SEI/USDT,-3507.92,-1.92,pump_lock_2pct,True,B,11.0,19.0,13.0,3.7,0.43,369649.97,4.77,6.5,5.14,5.53,5.53,9.56,-0.6,-0.6
DIA/USDT,-1018.19,-0.46,pump_breakeven,True,B,25.0,20.0,14.0,46.3,0.5,306514.75,1.03,5.8,3.39,0.79,2.41,9.86,-0.83,-0.83
FTT/USDT,-3876.19,-8.26,pump_3h_down,False,B,21.0,30.0,23.0,6.5,2.53,18105.51,0.46,-5.42,-5.97,-5.46,2.44,2.44,-2.93,-8.28
DIA/USDT,414.77,1.11,pump_stagnation_exit,False,B,-9.0,33.0,31.0,6.9,0.79,57510.79,2.34,2.69,-0.77,-1.28,7.37,7.37,-1.59,-4.0
NEIRO/USDT,680.94,1.12,pump_breakeven,False,A,60.0,48.0,19.0,3.0,0.0,51813577.79,1.61,1.14,3.14,1.27,4.0,4.59,-1.38,-1.38
SAGA/USDT,-3254.31,-7.12,pump_3h_down,False,B,27.0,22.0,13.0,2.1,2.96,15026.84,-3.53,-3.07,-4.88,-2.86,1.27,1.27,-5.28,-5.28
CVC/USDT,-1760.07,-0.94,pump_lock_2pct,True,B,28.0,24.0,12.0,4.3,0.16,940977.5,2.82,3.31,3.38,4.81,4.12,5.93,-1.55,-1.55
ARKM/USDT,-829.98,-1.66,pump_3h_down,False,B,8.0,19.0,13.0,6.1,1.54,29039.66,-0.89,-0.7,-0.83,-1.67,0.4,0.4,-2.65,-2.65
ENA/USDT,2385.62,1.76,pump_stagnation_exit,True,B,19.0,20.0,18.0,3.7,0.33,457414.4,5.61,2.16,3.82,3.61,6.19,6.19,-0.3,-0.3
NEIRO/USDT,-489.49,-0.95,pump_stagnation_exit,False,B,29.0,38.0,15.0,2.1,0.0,19934630.1,-0.62,-1.83,1.45,0.22,1.41,3.36,-0.85,-2.04
CELR/USDT,1410.37,3.54,pump_stagnation_exit,False,B,19.0,19.0,14.0,35.5,0.01,2904651.66,-0.74,-1.15,-0.6,0.91,1.67,4.55,-2.73,-2.73
SPELL/USDT,-1688.78,-3.76,pump_3h_down,False,B,28.0,27.0,16.0,4.2,0.0,63539434.86,1.16,-1.15,-1.45,-3.7,4.13,4.13,-2.53,-4.42
BOME/USDT,992.88,2.56,pump_stagnation_exit,False,B,54.0,34.0,12.0,1.6,0.01,4183195.2,-0.62,-0.56,-0.6,-0.12,1.06,1.06,-2.39,-2.39
MEME/USDT,-1228.36,-2.69,pump_probe_kill,False,B,52.0,38.0,10.0,2.9,0.02,2756458.18,-3.55,-3.03,-5.89,-3.16,0.21,0.21,-4.01,-6.8
STORJ/USDT,-4377.54,-10.2,pump_initial_stop,False,B,26.0,19.0,19.0,2.1,0.75,56317.39,1.87,-10.17,-10.17,-10.17,3.83,3.83,-1.04,-11.11
APE/USDT,2830.16,10.76,pump_lock_2pct,False,B,100.0,90.0,13.0,4.2,1.39,19304.46,10.67,10.67,10.67,10.67,24.49,24.49,-0.55,-0.55
API3/USDT,-3710.06,-5.15,pump_3h_down,False,A,51.0,48.0,15.0,6.3,2.08,33400.95,-3.95,-5.29,-2.41,-3.42,0.19,1.01,-5.39,-6.69
ARPA/USDT,7831.53,19.53,pump_lock_2pct,False,B,41.0,40.0,33.0,53.1,0.06,713076.73,19.59,19.59,19.59,19.59,27.31,27.31,-0.05,-0.05
ARPA/USDT,-4258.56,-9.74,pump_initial_stop,False,B,69.0,66.0,58.0,110.6,0.07,630506.4,-9.62,-9.62,-9.62,-9.62,0.68,0.68,-11.4,-11.4
ARPA/USDT,-3606.26,-8.47,pump_3h_down,False,B,52.0,49.0,37.0,97.6,0.06,677024.76,-2.03,-7.19,-8.46,-8.46,1.14,1.14,-5.48,-9.16
HOT/USDT,-2089.69,-4.96,pump_3h_down,False,B,22.0,21.0,17.0,36.2,0.0,20748230.36,-2.76,-3.73,-0.46,-1.53,0.05,0.36,-2.86,-3.89
RVN/USDT,-2059.99,-4.97,pump_stagnation_exit,False,B,16.0,24.0,21.0,21.3,0.02,1943223.91,-4.92,-5.94,-0.44,-1.02,1.65,1.65,-6.04,-6.43
AXL/USDT,-3032.32,-1.72,pump_lock_2pct,True,B,10.0,18.0,14.0,5.7,0.69,217895.99,2.02,6.28,5.93,4.66,3.04,7.21,-0.46,-0.46
MASK/USDT,1911.07,4.67,pump_breakeven,False,B,26.0,25.0,22.0,13.4,2.89,14800.73,4.72,4.72,4.72,4.72,8.04,8.04,-0.29,-0.29
CYBER/USDT,-1595.82,-3.52,pump_3h_down,False,B,25.0,19.0,13.0,6.4,3.36,12776.64,1.94,-2.19,-1.69,-1.45,4.44,4.44,-2.58,-3.53
MASK/USDT,-3794.11,-8.61,pump_3h_down,False,B,31.0,31.0,35.0,6.9,3.03,14226.11,-3.91,-6.48,-8.56,-8.56,0.94,0.94,-5.36,-9.29
SCR/USDT,-1174.33,-2.57,pump_probe_kill,False,B,4.0,25.0,17.0,6.5,0.69,61691.61,-1.65,-1.07,0.24,-1.65,3.59,3.59,-2.23,-3.11
ARK/USDT,-177.13,-0.22,pump_stagnation_exit,False,B,8.0,20.0,14.0,8.5,0.51,83429.4,1.01,-0.01,-2.67,-2.65,1.15,1.56,-0.99,-3.79
SUI/USDT,1413.36,1.2,pump_stagnation_exit,True,B,21.0,19.0,13.0,1.8,2.21,63561.51,2.96,3.22,4.48,2.26,4.31,6.43,-0.93,-0.93
TAO/USDT,970.54,2.5,pump_stagnation_exit,False,B,18.0,21.0,11.0,1.9,503.15,83.87,0.21,-1.32,1.44,-0.07,1.46,2.77,-1.9,-2.04
LDO/USDT,-6400.25,-4.12,pump_lock_2pct,True,B,34.0,32.0,11.0,1.8,1.28,110860.05,4.01,8.62,5.03,4.64,4.95,10.5,-0.44,-0.44
ENA/USDT,-340.76,-0.6,pump_time_exit,False,B,50.0,37.0,16.0,1.7,0.5,85041.2,-1.06,-0.98,-2.95,-0.17,2.01,2.01,-1.12,-4.44
STG/USDT,-5873.65,-13.08,pump_initial_stop,False,B,59.0,51.0,48.0,129.4,0.42,104727.24,-8.33,-13.06,-13.06,-13.06,0.23,0.23,-11.05,-14.69
CATI/USDT,5559.4,13.89,pump_lock_2pct,False,B,23.0,23.0,16.0,6.2,0.4,101968.89,-3.03,-1.68,-0.43,13.94,1.53,17.85,-4.04,-4.04
RAY/USDT,-4584.16,-5.44,pump_probe_kill,False,A,61.0,18.0,17.0,2.5,5.82,13976.89,-0.38,3.04,-0.72,-7.3,-0.05,3.11,-2.8,-9.11
HMSTR/USDT,7571.59,15.76,pump_lock_2pct,False,B,65.0,62.0,53.0,46.7,0.0,11518999.85,-2.75,15.82,15.82,15.82,2.55,15.98,-4.92,-4.92
HMSTR/USDT,-1549.86,-8.4,pump_initial_stop,False,B,88.0,93.0,15.0,2.6,0.0,3671678.67,-10.66,-8.28,-8.28,-8.28,0.07,0.07,-11.64,-16.4
CETUS/USDT,4086.19,8.37,pump_lock_2pct,False,B,42.0,24.0,13.0,2.1,0.43,115603.54,0.32,8.43,8.43,8.43,2.05,14.82,-1.71,-1.71
SUI/USDT,103.18,0.27,pump_stagnation_exit,True,B,21.0,23.0,19.0,3.7,2.82,49389.18,-2.4,-3.42,-2.25,-0.46,-0.04,2.12,-2.6,-4.2
CETUS/USDT,-1756.24,-1.89,pump_stagnation_exit,False,A,59.0,21.0,17.0,3.1,0.47,179283.28,-3.65,-3.01,0.1,2.44,1.38,3.78,-6.59,-6.59
TRB/USDT,10912.29,26.16,pump_lock_2pct,False,B,2.0,18.0,11.0,2.8,62.12,677.39,26.19,26.19,26.19,26.19,31.4,31.4,-0.19,-0.19
AGLD/USDT,-9387.78,-6.17,pump_breakeven,True,B,17.0,20.0,11.0,3.9,1.58,88788.93,2.67,2.86,3.24,4.06,6.53,6.6,-1.63,-1.63
TRB/USDT,-8474.06,-4.88,pump_lock_2pct,True,B,27.0,46.0,39.0,8.4,78.45,1864.49,4.03,19.2,33.88,28.4,7.08,40.22,-1.34,-1.34
ZEN/USDT,-2447.08,-6.9,pump_3h_down,False,B,28.0,27.0,19.0,11.5,10.14,3401.77,-6.86,-6.56,-5.28,-3.9,1.04,1.04,-8.14,-8.14
HIGH/USDT,-2664.86,-6.36,pump_3h_down,False,B,27.0,25.0,16.0,12.1,1.65,24724.83,-3.57,-2.84,-3.63,-6.37,0.8,0.8,-6.92,-7.1
STX/USDT,-2456.69,-5.91,pump_3h_down,False,B,27.0,21.0,19.0,3.0,2.1,19175.84,-0.76,-2.43,-5.91,-5.91,-0.0,-0.0,-4.1,-7.72
ORDI/USDT,-3102.31,-7.51,pump_3h_down,False,B,32.0,20.0,17.0,1.9,45.85,878.25,-0.68,-2.8,-7.42,-7.42,0.84,0.84,-2.56,-8.71
BTTC/USDT,1019.46,2.36,pump_breakeven,False,B,39.0,28.0,23.0,7.7,0.0,38770071983.64,-4.15,-6.6,1.59,1.59,4.05,8.96,-5.78,-7.42
IO/USDT,-1574.66,-3.13,pump_3h_down,False,B,39.0,32.0,14.0,2.8,2.7,17498.89,-1.42,-2.9,-3.08,-3.08,2.06,2.06,-1.86,-6.34
BTTC/USDT,-3157.84,-6.49,pump_3h_down,False,B,41.0,32.0,22.0,15.9,0.0,37759642058.8,0.75,-2.45,-5.65,-7.25,1.55,3.15,-3.25,-8.05
STRK/USDT,-639.2,-1.43,pump_stagnation_exit,False,B,32.0,19.0,13.0,2.6,0.54,73519.55,2.57,1.31,-0.33,-1.97,2.6,3.5,-1.34,-3.17
BONK/USDT,-541.75,-0.97,pump_breakeven,False,B,42.0,23.0,19.0,2.4,0.0,1491856459.57,0.91,9.6,-0.95,-0.95,3.38,9.79,-1.68,-1.68
NEIRO/USDT,-3457.78,-8.72,pump_initial_stop,False,B,26.0,19.0,19.0,2.0,0.0,13391904.65,3.77,1.83,-6.46,-8.68,7.64,7.64,-1.12,-17.37
ALT/USDT,-3325.73,-8.52,pump_initial_stop,False,B,8.0,20.0,19.0,9.2,0.13,302261.01,-8.46,-8.46,-8.46,-8.46,0.92,0.92,-11.66,-11.66
NOT/USDT,-1766.1,-4.43,pump_3h_down,False,B,11.0,19.0,14.0,2.1,0.01,4594687.64,-1.59,-1.24,-1.29,-4.39,-0.03,0.26,-4.45,-4.8
DGB/USDT,1703.56,5.23,pump_lock_2pct,False,B,23.0,20.0,16.0,42.4,0.01,4017770.34,-0.29,5.4,5.4,5.4,2.2,10.13,-2.3,-2.3
XVG/USDT,-4146.87,-11.16,pump_initial_stop,False,B,63.0,54.0,42.0,56.1,0.01,4967325.35,-3.84,-2.4,-1.76,-11.08,2.22,6.11,-6.33,-13.68
FLOKI/USDT,2354.6,6.58,pump_breakeven,False,B,23.0,20.0,14.0,4.4,0.0,145927207.35,6.63,6.63,6.63,6.63,8.62,8.62,-0.2,-0.2
DGB/USDT,-1721.18,-5.16,pump_3h_down,False,B,27.0,26.0,20.0,43.7,0.01,3615955.0,0.29,-2.07,1.19,-3.42,1.86,4.9,-4.21,-4.21
FLOKI/USDT,-1026.18,-2.54,pump_3h_down,False,B,34.0,27.0,21.0,5.1,0.0,138672580.47,-1.34,-1.77,-2.49,-2.49,1.81,1.81,-1.72,-2.78
POLYX/USDT,-501.67,-1.16,pump_stagnation_exit,False,B,16.0,24.0,15.0,10.4,0.29,126235.2,-0.77,2.44,0.15,-1.65,6.43,6.43,-2.0,-2.06
SEI/USDT,-714.0,-0.37,pump_stagnation_exit,True,B,20.0,22.0,14.0,3.5,0.52,235250.31,-2.87,-2.82,-1.37,-1.84,-0.03,-0.03,-3.71,-3.75
MANA/USDT,-3340.07,-8.88,pump_3h_down,False,B,31.0,29.0,25.0,14.7,0.44,83580.06,-2.21,-3.71,-8.84,-8.84,0.38,0.38,-5.43,-9.15
LUNA/USDT,-5904.98,-13.18,pump_3h_down,False,B,48.0,45.0,41.0,51.6,0.53,83302.51,-7.74,-6.46,-8.31,-13.08,1.93,1.93,-8.14,-15.38
AMP/USDT,2772.56,7.96,pump_lock_2pct,False,B,20.0,25.0,18.0,4.8,0.01,6899728.98,8.07,8.07,8.07,8.07,26.76,26.76,-4.66,-4.66
QNT/USDT,7386.21,20.83,pump_lock_2pct,False,B,24.0,25.0,15.0,4.8,77.84,460.43,20.76,20.76,20.76,20.76,21.79,21.79,-3.26,-3.26
AMP/USDT,-3481.62,-9.52,pump_initial_stop,False,B,32.0,35.0,27.0,15.0,0.01,6400048.01,-7.09,-9.37,-9.37,-9.37,5.34,5.34,-8.71,-11.51
QNT/USDT,-2132.38,-4.66,pump_probe_kill,False,B,49.0,49.0,38.0,14.1,94.15,466.01,-4.83,-6.1,-4.72,-3.98,0.69,1.33,-8.33,-8.33
CRV/USDT,-2137.72,-5.73,pump_probe_kill,False,B,12.0,27.0,17.0,9.1,0.36,100620.0,-1.72,-5.49,-4.79,-6.63,0.03,0.03,-2.89,-6.68
QNT/USDT,-2893.15,-6.55,pump_3h_down,False,B,46.0,35.0,15.0,12.2,89.84,477.36,-2.61,-4.72,-6.62,-6.62,0.06,0.06,-3.83,-6.84
TFUEL/USDT,-1366.5,-3.67,pump_lock_2pct,False,B,20.0,21.0,15.0,10.6,0.07,497007.59,-3.62,-3.62,-3.62,-3.62,13.38,13.38,-5.29,-5.29
ZRX/USDT,-263.67,-0.43,pump_lock_2pct,False,B,41.0,30.0,18.0,13.4,0.49,85885.8,-0.38,-0.38,-0.38,-0.38,10.54,10.54,-1.66,-1.66
HBAR/USDT,-3023.61,-14.54,pump_3h_down,False,B,110.0,58.0,26.0,2.5,0.14,145415.94,-9.01,-9.64,-14.5,-14.5,1.26,1.26,-9.34,-14.67
CATI/USDT,-22162.75,-13.74,pump_time_exit,True,A,53.0,34.0,27.0,3.1,0.61,228730.55,4.91,2.37,12.07,16.89,5.66,18.55,-4.05,-4.05
XTZ/USDT,-2214.52,-10.12,pump_3h_down,False,B,60.0,54.0,18.0,18.6,1.2,17944.69,1.62,-1.64,-6.4,-6.23,4.55,4.55,-0.3,-6.74
ETHFI/USDT,-1722.52,-5.36,pump_3h_down,False,B,20.0,31.0,34.0,13.3,1.99,15543.21,-1.96,-2.71,-5.27,-5.27,0.85,0.85,-4.31,-6.12
OP/USDT,-997.95,-3.02,pump_3h_down,False,B,20.0,24.0,27.0,10.0,2.12,14618.98,-0.66,-1.51,-2.93,-2.93,1.03,1.03,-1.47,-3.78
LUNA/USDT,-1864.55,-5.9,pump_3h_down,False,B,10.0,21.0,13.0,3.3,0.49,62958.65,-1.14,-4.23,-5.79,-5.79,1.45,1.45,-3.61,-6.26
FTT/USDT,-2401.86,-7.8,pump_3h_down,False,B,36.0,40.0,15.0,2.1,2.78,10798.38,0.45,-0.27,0.59,-2.2,1.26,6.54,-4.7,-4.7
SCRT/USDT,8001.72,16.98,pump_lock_2pct,False,A,71.0,49.0,43.0,10.5,0.51,92799.47,-3.22,2.09,17.0,17.0,3.24,23.09,-6.95,-6.95
COTI/USDT,1464.24,4.12,pump_lock_2pct,False,B,35.0,37.0,29.0,14.2,0.14,268940.27,4.08,4.08,4.08,4.08,12.74,12.74,-0.81,-0.81
COMP/USDT,-2704.49,-8.49,pump_3h_down,False,B,21.0,20.0,20.0,4.2,64.67,481.59,-3.82,-5.83,-8.49,-8.49,-0.03,-0.03,-8.35,-9.02
ICP/USDT,-1530.07,-4.71,pump_probe_kill,False,B,27.0,26.0,13.0,2.3,11.55,2699.31,-1.79,-5.02,-4.01,-5.95,0.86,0.86,-2.44,-6.88
COTI/USDT,-239.84,-0.51,pump_stagnation_exit,False,B,38.0,35.0,16.0,14.8,0.14,246747.19,3.74,-0.89,-3.27,-2.16,5.32,5.32,-2.13,-5.8
ALGO/USDT,-3048.93,-8.11,pump_3h_down,False,B,44.0,31.0,12.0,3.3,0.31,117727.39,-2.29,-1.65,-7.58,-8.06,2.87,2.87,-2.9,-9.44
VTHO/USDT,-3985.09,-10.78,pump_initial_stop,False,B,52.0,52.0,36.0,22.8,0.0,11123183.82,1.76,-4.64,-10.65,-10.65,3.78,3.78,-5.07,-11.01
CVX/USDT,-3030.13,-8.13,pump_3h_down,False,B,40.0,31.0,25.0,9.0,3.47,10485.3,-5.81,-6.91,-8.09,-8.09,2.28,2.28,-7.05,-9.5
KSM/USDT,7298.38,21.01,pump_lock_2pct,False,B,61.0,53.0,36.0,9.0,33.43,1050.25,3.45,-2.62,0.1,21.13,7.4,23.97,-3.7,-6.33
VTHO/USDT,294.72,1.3,pump_breakeven,False,B,42.0,42.0,14.0,24.5,0.0,8946368.92,2.18,7.98,1.35,1.35,7.62,9.02,-0.28,-1.78
KSM/USDT,2732.08,14.69,pump_lock_2pct,False,B,100.0,86.0,57.0,22.3,40.49,466.26,15.04,15.04,15.04,15.04,22.55,22.55,-6.4,-6.4
JASMY/USDT,-2770.43,-7.42,pump_3h_down,False,B,36.0,39.0,26.0,7.0,0.03,1312967.04,-3.37,-6.08,-7.37,-7.37,1.43,1.43,-5.25,-8.17
MOVR/USDT,-2633.49,-6.16,pump_probe_kill,False,A,58.0,49.0,27.0,7.6,17.98,2303.45,0.85,-2.24,-4.93,0.91,2.87,2.87,-4.07,-6.77
HIVE/USDT,-1352.16,-4.29,pump_3h_down,False,B,32.0,26.0,20.0,15.2,0.3,99494.55,0.38,0.91,-0.31,-3.02,4.53,4.53,-3.84,-5.03
ONE/USDT,-1928.91,-12.06,pump_initial_stop,False,B,96.0,64.0,36.0,3.8,0.03,551030.63,-9.08,-11.95,-11.95,-11.95,1.84,1.84,-9.78,-14.01
ONE/USDT,-1857.74,-7.93,pump_3h_down,False,B,73.0,39.0,16.0,4.5,0.03,909555.72,3.33,-3.35,-1.92,-5.42,4.72,4.72,-1.44,-6.09
SAND/USDT,-1110.73,-5.22,pump_3h_down,False,B,85.0,63.0,44.0,6.9,0.63,32432.68,-5.11,-4.78,-3.18,0.12,0.39,2.81,-9.3,-9.3
HOT/USDT,-988.2,-3.23,pump_3h_down,False,B,32.0,18.0,17.0,8.3,0.0,10260896.43,0.23,-2.08,-0.26,-1.61,3.5,3.5,-1.01,-3.43
PYR/USDT,-4066.24,-3.95,pump_breakeven,True,B,39.0,24.0,14.0,7.3,3.94,24202.75,-2.36,0.53,-2.41,-1.17,0.84,3.2,-3.32,-3.6
COS/USDT,3045.39,5.6,pump_lock_2pct,False,A,53.0,33.0,22.0,4.5,0.01,4659171.87,2.56,5.65,5.65,5.65,4.79,10.6,-3.84,-3.84
SCRT/USDT,1544.45,5.66,pump_breakeven,False,B,35.0,33.0,30.0,5.0,0.64,44585.62,5.71,5.71,5.71,5.71,9.39,9.39,-3.58,-3.58
COS/USDT,-4358.1,-7.4,pump_probe_kill,False,A,62.0,40.0,28.0,12.9,0.01,4479039.85,-4.04,-7.22,-5.35,-4.27,3.73,3.73,-5.36,-8.68
SKL/USDT,-1041.14,-3.49,pump_3h_down,False,B,14.0,25.0,14.0,11.0,0.07,411090.77,-0.31,-3.06,-3.47,-3.47,1.83,1.94,-1.66,-4.65
ZEN/USDT,1294.55,1.55,pump_stagnation_exit,True,B,32.0,26.0,13.0,4.6,14.8,6366.02,-1.54,-0.52,1.03,3.4,1.71,4.68,-2.01,-2.01
LISTA/USDT,-3427.03,-10.35,pump_3h_down,False,B,52.0,37.0,22.0,4.3,0.61,53437.43,0.23,2.23,0.31,0.33,3.58,4.48,-3.22,-3.22
LQTY/USDT,-1090.2,-3.65,pump_3h_down,False,B,20.0,27.0,12.0,2.3,1.63,17359.0,5.41,0.38,-0.42,-2.07,5.41,5.41,-0.97,-2.26
ENS/USDT,-1190.76,-3.38,pump_probe_kill,False,B,74.0,59.0,33.0,6.0,35.07,950.0,-2.36,-6.52,-4.41,-2.13,-0.05,-0.05,-5.78,-9.23
IOTA/USDT,1660.96,6.22,pump_stagnation_exit,False,B,25.0,22.0,12.0,2.7,0.27,103949.08,-3.1,-0.77,-0.58,1.34,0.55,1.72,-4.15,-4.15
HBAR/USDT,-894.93,-4.16,pump_3h_down,False,B,30.0,22.0,12.0,2.9,0.18,115110.69,-0.42,-2.54,-4.09,-4.09,4.62,4.62,-0.79,-4.7
ALGO/USDT,-3949.76,-3.21,pump_lock_2pct,True,B,42.0,33.0,15.0,2.9,0.39,280090.48,3.34,0.41,2.58,3.57,4.52,5.26,-0.05,-3.06
DGB/USDT,12399.7,18.3,pump_lock_2pct,True,B,23.0,19.0,19.0,5.3,0.01,5150666.84,-6.3,-5.69,-2.11,-3.25,0.03,2.39,-6.53,-6.53
ENS/USDT,-643.58,-0.83,pump_stagnation_exit,True,A,85.0,25.0,30.0,5.2,43.13,1448.15,-1.74,-0.51,0.39,-0.91,4.66,4.66,-2.62,-4.34
DGB/USDT,5272.55,9.34,pump_lock_2pct,False,A,47.0,44.0,28.0,11.3,0.02,3660260.0,9.4,9.4,9.4,9.4,10.99,10.99,-3.09,-3.09
DGB/USDT,-3221.33,-8.9,pump_initial_stop,False,B,59.0,56.0,39.0,18.5,0.02,2052494.17,-8.8,-8.8,-8.8,-8.8,4.18,4.18,-12.62,-12.62
DGB/USDT,2750.39,10.34,pump_lock_2pct,False,B,39.0,35.0,18.0,23.6,0.01,1817993.18,1.82,2.9,10.33,10.33,3.77,12.0,-4.2,-4.2
CRV/USDT,-1544.13,-5.12,pump_3h_down,False,B,31.0,24.0,16.0,2.9,0.62,46771.0,-1.92,-4.17,-4.08,-4.9,1.01,1.01,-3.11,-4.95
THETA/USDT,251.92,0.41,pump_stagnation_exit,True,A,47.0,32.0,21.0,7.3,2.99,39159.36,0.72,0.52,0.22,1.89,1.96,3.06,-3.83,-3.83
WLD/USDT,-9961.12,-8.31,pump_stagnation_exit,True,A,49.0,27.0,21.0,3.9,3.67,31868.23,-2.53,-2.61,-1.58,-1.3,0.96,0.96,-3.43,-3.43
CRV/USDT,-1507.53,-6.28,pump_3h_down,False,B,33.0,27.0,16.0,2.1,0.68,34118.67,-0.25,-2.35,-0.75,-1.98,1.74,7.78,-1.28,-3.68
USUAL/USDT,-4307.34,-4.38,pump_stagnation_exit,True,B,19.0,20.0,16.0,9.1,0.37,251322.68,-1.99,-4.68,-3.86,-1.31,0.63,1.32,-4.98,-6.07
IOTA/USDT,-3559.36,-6.43,pump_3h_down,False,A,57.0,38.0,18.0,4.9,0.37,146690.68,-2.1,-5.67,-6.38,-6.38,1.59,1.59,-4.69,-8.89
HBAR/USDT,-3990.49,-3.42,pump_breakeven,True,A,65.0,43.0,18.0,2.4,0.24,448026.23,1.8,-1.46,1.42,5.21,4.14,8.07,-4.19,-4.19
SAND/USDT,-2450.33,-9.32,pump_3h_down,False,B,33.0,28.0,32.0,4.0,0.85,30237.58,-3.64,-2.86,-6.73,-9.25,2.71,2.71,-6.86,-10.09
ZEC/USDT,-1794.5,-5.61,pump_probe_kill,False,B,44.0,27.0,25.0,4.8,77.79,397.29,-5.2,-4.97,-3.93,-4.46,0.19,0.19,-5.33,-6.32
XVG/USDT,-1679.19,-15.59,pump_3h_down,False,B,125.0,106.0,45.0,1.6,0.02,692873.74,-7.98,-11.26,-10.44,-11.88,4.11,4.11,-9.63,-15.28
RSR/USDT,3931.2,8.36,pump_lock_2pct,False,A,71.0,72.0,32.0,9.4,0.02,2968658.69,8.43,8.43,8.43,8.43,13.79,13.79,-0.94,-0.94
IOTA/USDT,-274.16,-0.28,pump_lock_2pct,True,A,81.0,38.0,24.0,2.2,0.48,114886.8,-0.63,2.4,0.18,3.05,2.65,7.29,-2.11,-2.11
RSR/USDT,-663.86,-4.04,pump_3h_down,False,B,90.0,94.0,30.0,10.0,0.02,888960.38,-1.98,-1.99,-3.9,-3.9,2.16,3.28,-4.36,-7.86
RSR/USDT,1629.26,8.29,pump_lock_2pct,False,A,80.0,78.0,23.0,8.4,0.02,1191740.75,1.57,8.28,8.28,8.28,3.5,15.41,-8.19,-8.19
RSR/USDT,229.13,2.64,pump_breakeven,False,B,117.0,121.0,26.0,4.7,0.02,433769.57,1.0,2.68,2.68,2.68,4.22,8.09,-0.48,-3.44
JST/USDT,2709.96,10.81,pump_lock_2pct,False,B,28.0,26.0,25.0,7.5,0.05,516812.01,-0.35,10.95,10.95,10.95,0.37,11.29,-2.25,-2.25
WIN/USDT,2707.31,12.67,pump_lock_2pct,False,B,48.0,45.0,13.0,3.3,0.0,122860456.42,12.96,12.96,12.96,12.96,13.05,13.05,-0.05,-0.05
JST/USDT,5664.87,18.38,pump_lock_2pct,False,B,42.0,38.0,25.0,5.2,0.05,568744.46,18.27,18.27,18.27,18.27,28.26,28.26,-3.39,-3.39
JST/USDT,-2468.57,-7.77,pump_lock_2pct,False,B,67.0,62.0,39.0,3.7,0.07,476795.08,-7.79,-7.79,-7.79,-7.79,29.06,29.06,-8.45,-8.45
